,generated_headline,headline
10,"""I was embarrassed a little bit, until she just started talking to me when we got home,"" one of Graham's five daughters says. ""I was so angry with him that he had made a decision to do some harm to the police officers,"" her son says.","Video of Toya Graham going to a protest and forcefully removing her son went viral, drew a lot of praise .
The single mother of six tells CNN her son was scolded that he wasn't brought up that way .
Michael Singleton says he knows his mom was trying to protect him ."
11,"obsidian scalpels can be used in situations where the patient may have an allergy to steel or metal. Scientists are using ancient technology to carry out fine incisions that heal with minimal scarring. Obsidian, a type of volcanic glass, can produce cutting edges many times finer than best steel scalpels.","Obsidian can produce cutting edges many times finer than even the best steel scalpels .
Some surgeons still use the blades in procedures today ."
12,"Saudi forces responded to mortar rounds fired by Houthis on a Saudi border site. A Saudi source confirms that three Saudi soldiers were killed in the shelling. The World Health Organization puts higher figure on both tolls, but includes militant casualties.","Saudi general says more than 1,200 airstrikes since campaign began March 26 .
Three Saudis were killed in attack on border position, source tells CNN ."
13,a new CNN/ORC poll finds 57% feel wedding-related businesses should be required to serve gay or lesbian couples. That's a shift from a Pew Research Center poll last fall. Democrats and independents broadly say wedding-related businesses should be required to serve same-sex couples.,"Most Americans say businesses should not discriminate against same-sex weddings .
Public opinion has shifted on the issue since last fall .
Indiana passed and later changed its religious freedom law after public outcry ."
14,"Holmes says he was insane at the time of the shootings. He is accused of opening fire on the crowd, killing 12 people and injuring 70 others. His parents are challenging all media outlets ""to stop the gratuitous use of the name and likeness of mass killers""","Opening statements are scheduled Monday in the trial of James Holmes .
Jury selection took three months .
Holmes faces 165 counts in the movie theater massacre that killed 12 people ."
15,"Nepalese official: ""Many people are crying, sharing their hardships"" The death toll has now climbed above 4,600 in Nepal, officials say. U.N. says it is trying to build morale, maintain morale and help themselves.","Death toll in Nepal climbs above 4,600, officials say, with more than 9,000 injured .
Shattered villages near epicenter are hard to reach, says aid worker in the area .
More bad weather is forecast for the region in the coming days ."
16,"sally kohn: We should open our eyes to what is happening in Baltimore and other cities this week. Kohn: It's time to push each other out of our ideological comfort zones, build unlikely coalitions to create more opportunities. She says we must all be","In Baltimore, after the death of Freddie Gray, riots erupted, cars were set on fire and 200 arrests were made .
Eric Liu: Liberals and conservatives react predictably, see the riots as confirmation of their views .
It's time to push each other out of our ideological and identity comfort zones and change the status quo, he says ."
17,sen. Chuck Schumer: Indiana's religious freedom law expands the scope of the law. He says it could be used as a defense against gays and lesbians. He says some states are using the law to justify discrimination.,"The controversy over Indiana's religious freedom law is complicated .
Some factors you might have not considered ."
18,a French media outlet is accused of broadcasting their location live during the siege. The case was filed March 27 and a preliminary investigation was opened by the prosecutor's office. A 24-year-old supermarket employee was killed in the police operation to end the siege.,"Six people taken hostage in a kosher market siege say media outlet endangered their lives .
They hid in a cold room during the attack in Paris by gunman Amedy Coulibaly ."
19,"""It was like a tussle type of thing, like, you know, like, 'What did I do?',"" one witness says. The father of four died after being shot in the back by a police officer.","Police officers escort the funeral procession to the service .
Scott's family did not attend his visitation; they need privacy, mayor says .
Police meet with the man who was a passenger in his car when it was pulled over ."
20,police dashcam video shows a Walmart parking lot brawl that left one man dead. Police Sergeant Jeremy Daniels was hit in the leg by a bullet fired during the melee. Two minors are also being held at a juvenile detention facility.,"Police questioned the group about an alleged assault of a Walmart employee .
A man put a police officer in a headlock and fighting broke out ."
21,"Rock Hall of Fame honors Ringo Starr, Yoko Ono and Ringo Starr inducted as solo act. ""I got lucky, and it was actually in Cleveland,"" ono says. Withers hasn't performed live in many years but had hinted that he might sing once more.","Paul McCartney honors Ringo Starr at Rock and Roll Hall of Fame induction ceremony .
Green Day, Lou Reed, Joan Jett & the Blackhearts also honored ."
22,"a former TSA agent pleads guilty to unlawful photography, aggravated burglary and violation of the computer act. Police found more than 90 videos and 1,500 photos of the victim on Boykin's phone and computer. The victim filed a complaint after seeing images of herself on his phone last year.","Former TSA agent Daniel Boykin, 33, videotaped his female co-worker in the restroom, authorities say .
Authorities say they found 90 videos and 1,500 photos of the victim on Boykin's phone and computer .
Boykin worked in an administrative capacity and didn't do public security screenings, TSA official says ."
23,"pollsters could predict where you stood on same-sex marriage. There are now more people of faith who favor same-sex marriage than stand against it, PRRI says. Prominent and powerful religious groups are lined up on the other side.","There are now more people of faith who favor marriage equality than stand against it, according to a new poll .
If the U.S. Supreme Court has been paying attention, it likely saw this trend coming ."
24,"police say 60-70 safe deposit boxes were opened during the robbery. The company was founded in 1954 and offers a ""secure and cost-effective solution to store and protect important personal belongings""","Robbers may have taken advantage of a four-day holiday weekend .
Estimates of the value of the items taken rage from hundreds of thousands of pounds to 200 million pounds .
The heist took place in a historic heart of London's jewelry business ."
25,"108 students from the University of Nairobi were admitted to Kenyatta National Hospital on Sunday. One person died, according to the school. The confusion and panic came less than two weeks after Al-Shabaab slaughtered 147 people.","Students stampeded; some jumped from a fifth story at a dorm; one student died, school officials say .
The blasts were caused by faulty electrical cable, and Kenya Power is at the school .
The panic came less than two weeks after terrorists attacked Kenya's Garissa University ."
26,"Saudi-led coalition ends its ""Operation Decisive Storm"" campaign in Yemen. Saudi officials say airstrikes have degraded Houthi-controlled military infrastructure. The aim is to bring back Yemen's security and stability through establishing a political process.","Former Yemeni President Ali Abdullah Saleh will leave, a source says .
Ousted leader Abdu Rabu Mansour Hadi promises to return .
Next phase, called ""Operation Renewal of Hope,"" will focus on political process ."
27,"""It really depends what you want,"" he says. He says Nigeria has the highest number of people in modern slavery of any sub-Saharan country. He says there are fears that orphaned children could end up in hands of Naptip.","CNN team finds a man at ""unofficial"" displaced camp willing to provide children to be ""fostered""
He says he can't take money for them, but eventually demands $500 for two girls ."
28,"a recent poll shows 32% of Americans predicted the name was a shoo-in. Elizabeth, Alice, Victoria and Charlotte have all been frontrunners. Diana will be the first Princess of Cambridge born into the royal family in 182 years.","As William and Kate await the arrival of their second child, speculation is rife as to what he or she will be named .
Royal expert Victoria Arbiter argues that naming a newborn princess after Diana would put too much pressure on her ."
29,"89 killings have been reported in Juarez this year, according to Plan Estrategico de Juarez. More than 3,000 people were killed in the city just four years ago. The government cleaned up corruption within the police force, and fired or arrested bad cops.","Cartel violence helped make Juarez the murder capital of the world five years ago .
But the murder rate in the city has declined rapidly since 2010 .
Now city leaders are working to bring visitors and foreign investment back to Juarez ."
30,Michael Rapiejko ran his car into Mario Valencia in February as the suspect carried a rifle he had just fired in the air. Valencia survived and faces more than a dozen charges for an alleged crime spree that day. The officer says he thought he was too far to take a shot at the man.,"Officer Michael Rapiejko said he needed to use lethal force to stop the suspect .
Mario Valencia was carrying a rifle and fired one round into the air .
Rapiejko said two options crossed his mind and it was too far to shoot Valencia ."
31,"Cape Verde is seeking to tap into the spoils of its rich cultural heritage in a bid to help its economy flourish. The country has long been a mesh of cultures, history and races. It was once a key location for the transatlantic slave trade, a refuge for exiled Jews.","Cape Verde seeking to tap-into rich cultural heritage .
Tiny island nation wants to grow creative economy ."
32,"Afghanistan is swollen in size but shrunken in scope, says one man. ""My family is still living in the provinces,"" one man says. Helicopters are now being covered over by Afghans who are finally reclaiming their street.","Kabul faces uncertain future as NATO presence -- and the money that came with it -- fades away .
Interpreters are out of work, NATO trucks sit idle on roads, restaurants are empty ."
33,"""We'd all take deep breaths and try again,"" a senior administration official says. Negotiators have until the end of June to work out the details, put the plan to paper. The hotel has been a getaway for wealthy tourists and the occasional celebrity.","This week's talks on an Iranian nuclear deal framework are historic .
The negotiations demonstrated diplomacy at its best, but also at its most hectic .
Reporters resorted to ambushes to talk to officials; negotiations were ""sometimes emotional and confrontational"""
34,"iReporter Benjamin Rosenbaum: ""The fish was flopping on my legs. It was so slippery that I couldn't get a grip on it"" Devin Patel describes the moment of terror: ""Yoni, get it off me!""","Rowing team at Washington University attacked by flying carp .
Member of the team caught the attack on video ."
35,"investigators find flight data recorder, or ""black box,"" about 8 inches (20 centimeters) below surface. Investigators have focused on Lubitz's health as they try to establish his motivation.","French investigators: Flight data recorder reveals Andreas Lubitz acted deliberately to crash plane .
He used autopilot to set altitude at 100 feet and then used the controls to speed up the descent ."
36,"""It was like a tussle type of thing, like, you know, like, like, you know, like, a Taser,"" witness says. South Carolina police chief: ""I think it would be irresponsible to say that and try and inflame a community""","Footage shows a traffic stop and early interactions between Officer Michael Slager and Walter Scott .
The two men speak, and then Scott gets out of the car, running .
Slager, charged with murder, was fired from the North Charleston Police Department ."
37,"Mocha was a repeat offender when she got sick and had emergency surgery. The couple took her to the MSPCA's Angell Animal Medical Center. ""We've taken every imaginable thing that could fit down the gullet of a dog out with surgery,"" vet says.","A Boston-area dog ate three of her owner's wristwatches .
A veterinarian removed about 1 lb. of watch parts from her stomach .
Mocha the Doberman is now doing well ."
38,Turkish government imposes gag order banning broadcasters from reporting on the Palace of Justice siege. Turkey is tense and confused after years of back-to-back political crises.,"This week, Turkey was gripped by a massive power outage and a deadly hostage crisis .
Reactions reveal contemporary Turkey is tense and confused after years of political crises .
Censorship has pushed critics to fringes in country cited as democratic model for Mideast ."
39,"Yemen has been descending into chaos in the weeks since Shiite Houthi rebels removed Sunni President Abdu Rabu Mansour Hadi. The conflict is drawing in regional rivals Saudi Arabia, which is predominately Sunni.","Al Qaeda fighters attack a prison and other government buildings, freeing many prisoners .
Government troops clash with the fighters, most of whom flee .
Yemen is descending into chaos as a Shia-Sunni conflict draws in regional rivals Saudi Arabia and Iran ."
40,"Ines Dumig photographed Sahra through a photo workshop in Munich, Germany. ""Apart Together"" serves as a documentation of Sahra's experiences. Sahra is currently under the status of ""suspension of deportation""","Ines Dumig's photo series ""Apart Together"" follows a Somali refugee living in Germany .
The underlying themes include isolation and ""otherness"" and the search for human dignity ."
41,"Dr. Mehmet Oz is defending himself against a group of doctors who accuse him of ""manifesting an egregious lack of integrity"" Doctors from across the country say Oz shows ""disdain for science and for evidence-based medicine""","Ten physicians across the country have banded together to tell Columbia they think having Oz on faculty is unacceptable .
Radiology professor says that he just wants Oz to ""follow the basic rules of science""
TV's ""Dr. Oz"" holds a faculty position at Columbia University's College of Physicians and Surgeons ."
42,Volvo will begin exporting vehicles made in a factory in southwest China to the United States next month. The car will be one of four models produced in a manufacturing plant in Chengdu that opened in 2013. Industry analysts say it's unlikely we will see Chinese car makers shake up the U.S. car market.,"Volvo says it will begin exporting Chinese-built cars to the U.S. in May .
It's the first time ""Made in China"" cars will be available in U.S. showrooms .
But it's unlikely that Chinese car brands will take on developed markets ."
43,"NASA's New Horizons spacecraft has sent back its first color image of Pluto. It will beam back much sharper images and other information about the remote, unexplored corner of the solar system. The probe is due to make its closest approach to Pluto on July 14.","The New Horizons spacecraft captures image of Pluto and its largest moon .
It's set to reveal new details as it nears the remote area of the solar system ."
44,"Paul Nungesser is suing Columbia University for allowing his accuser to publicly brand him a ""serial rapist"" The lawsuit alleges the defendants violated Emma Sulkowicz's right to an education free of gender-based discrimination.","Paul Nungesser says he was target of gender-based harassment campaign .
The case drew national attention after his accuser started carrying a mattress around campus ."
45,"""It was Tamerlan Tsarnaev,"" prosecutor says. Dzhokhar Tsarnaev, 21, faces life in prison or the death penalty for bombing. He is accused of setting off weapons of mass destruction at a public event as an act of terrorism.","Jurors are scheduled to begin deliberations Tuesday morning .
If Tsarnaev is found guilty of at least one capital count, the trial will go to the penalty phase .
Prosecutor during closing argument: Tsarnaev ""wanted to awake the mujahideen, the holy warriors"""
46,"Hernandez pleaded not guilty to first-degree murder and other weapons-related charges. He was one of the NFL's most promising tight ends, inking a $40 million contract with the New England Patriots.","A jury has found ex-New England Patriots star guilty of murder .
Aaron Hernandez also charged with murder in 2012 double homicide .
'Golden boy' had just inked $40 million contract when troubles began ."
47,"Japan's nuclear watchdog issued a landmark injunction halting plans to restart two reactors. Locals successfully petitioned the court in Fukui Prefecture, where the plant is located. Japanese Prime Minister Shinzo Abe has pushed for a return to nuclear energy.","The reopening of two nuclear reactors has been blocked by a Japanese court over safety fears .
The reactors had previously been cleared to reopen by the country's nuclear watchdog .
Japan's 48 nuclear reactors have been offline in the wake of the 2011 Fukushima disaster ."
48,Arsenal have two games in hand and play lowly Queens Park Rangers on Sunday. Aston Villa continue their good form since appointing coach Tim Sherwood.,"Arsenal beat Burnley 1-0 in the EPL .
A goal from Aaron Ramsey secured all three points .
Win cuts Chelsea's EPL lead to four points ."
49,"Season 3 has seen a battle for the soul of Paige, the return of fan favorite Margo Martindale and Nina getting back in the game. ""Fresh Off the Boat,"" 8 p.m. ET Tuesday, ABC.","""The Americans"" ends a critically acclaimed third season Wednesday .
Academy of Country Music Awards holds its 50th ceremony Sunday on CBS ."
50,"Syria is a Hell on Earth that is expanding in plain sight, the Observatory for Human Rights says. Violence has plunged well over half of all Syrians into destitution as food rations are being cut for lack of donations.","More people have been displaced than live in Moscow; more people lost their homes than live in greater Boston .
The WFP has cut food ration sizes by 30% for lack of donations ."
51,"""I witnessed everything,"" Santana tells CNN he was told to stop using his phone to capture the incident. Police say Michael Slager used a Taser against Scott, but did not know what it was. The video reignited national outcries surrounding police treatment of African-Americans.","Witness who took video of shooting said when he arrived officer was on top of Walter Scott .
Feidin Santana says Walter Scott didn't take Michael Slager's Taser .
Santana said he never saw officers perform CPR before he left the scene to go to work ."
52,"Freddie Gray died from a devastating injury he allegedly suffered while in police custody. Demonstrators have vowed they'll keep taking to the streets until they get justice. Protesters want to know exactly what happened inside the van, but don't know what happened.","Freddie Gray's death has fueled protests in Baltimore .
Demonstrators accuse police of using too much force and say officers should face charges ."
53,The original cast of Twin Peaks has teamed together for a video backing the show's co-creator. Lynch announced Sunday that he was exiting Showtime's nine-episode revival over a salary dispute.,"""Twin Peaks"" creator David Lynch announced he was departing the Showtime revival of the cult series Sunday .
Cast members of the show posted a YouTube video Wednesday pleading for him to return .
Wednesday was the series' 25th anniversary ."
54,"the idea of sustainable development is that raw capitalism is far too powerful for its own good, he says. The reality is that raw capitalism is the economics of greed, and type-A personalities around the world will spend inordinate energy to organize businesses.","Jeffrey Sachs: Raw capitalism is the economics of greed .
Last year was the Earth's hottest year on record, he says ."
55,"""I am lucky to be alive,"" a Kenyan student says. Al-Shabaab militant group has made bloody incursions into neighboring Kenya. It's more likely in towns like Garissa, where more than 80% of citizens are Christian.","Kenyan agency: 147 dead, plans underway to evacuate students and others .
Garissa University College students wake to explosions and gunfire .
Reports: Gunmen storm the Kenyan school, attacking Christians and letting Muslims go ."
56,"South Korea's president says it is technically possible to salvage the Sewol ferry. ""We are still living the day -- April 16, 2014,"" Park Eun-mi says. A year later, nine have yet to be found.","Sewol ferry sank a year ago off the coast of South Korea, killing 304 people .
Families hold protests, vigils, say not much has been resolved since sinking .
Government has yet to decide whether to raise the ferry ."
57,Rio de Janeiro officials launch an investigation into the causes of death in the Rodrigo de Freitas lagoon. Officials defend the belief that recent rains caused a temperature change of the water and decaying organic matter. The bay will remain mostly polluted for the games.,"Officials start to clean up scores of dead fish from the Lagoon Rodrigo de Freitas .
Pollution was a problem even before the preparations for the Olympic games began .
Last week video showed a separate incident, where floating trash caused a sailing accident ."
58,"""All the family loves him, and his kids loved him,"" Anthony Scott tells CNN. ""He was outgoing -- loved everybody, (was) very known in the community,"" his brother says. The police officer pulled Scott over for a faulty brake light.","Walter Scott owed over $18,000 in back child support payments, documents show .
Walter Scott had four children and served in the Coast Guard, his brother says .
He was shot in the back and killed by a North Charleston police officer ."
59,"ISIS has benefited from a media environment that amplifies its propaganda, law enforcement officials say. In Minnesota, nine men have been charged as part of an alleged cell of recruits linked to American Abdi Nur.","The recruiting tactics used by ISIS differ from those traditionally employed by al Qaeda .
ISIS benefits from a media environment that amplifies its propaganda, officials say ."
60,pilot Andreas Lubitz was a co-pilot of Germanwings Flight 9525. He says the decision to train through Lufthansa's flight program had to be stressful. He says there is no doubt that it could have been prevented by an accident.,"Les Abend: There were likely warning signs during the co-pilot's training .
He says Andreas Lubitz had to go through many challenges to qualify to be a co-pilot ."
61,"""I didn't really like it in the beginning,"" says Korean-Canadian Charles Lee. Hoesik often involves changing venues for different types of alcohol, such as beer and soju. Don't drink until someone has poured the entire glass in one go.","Hoesik is the Korean tradition of eating and drinking together .
Anthony Bourdain travels to Korea for the season five premiere of ""Parts Unknown"""
62,"Alondra Luna Nuez was taken out of her middle school in Guanajuato, Mexico. The 14-year-old was put inside a federal police truck that sped away as witnesses watched and recorded. ""I will have my girl at home. We are taking action on the matter,"" alondra's mother says.","A girl is seized by authorities who thought she was the daughter of a woman in Houston .
DNA tests show she is not .
The mother of Alondra Luna Nuñez says: ""They stole my child"""
63,"Getty was one of the heirs to billions of oil money, police say. He had ""several health issues,"" detective says. His parents confirm their son's death and ask for privacy.","Andrew Getty's death appears to be from natural causes, police say, citing coroner's early assessment .
In a petition for a restraining order, Getty had written he had a serious medical condition.
Police say this is not a criminal matter at this time ."
64,"sally kohn: Congress should help low-wage workers gain access to predictable work schedules. Kohn: It's time to improve the conditions of low-wage workers, but there is no substitute for federal action. Wages remain sluggish, but unemployment is at 5.5%, she says.","Vijay Das: So-so jobs numbers contain truth that worries labor experts: Too much American job growth is in part-time low-income work.
He says erratic work schedules tied to customer traffic wreaks havoc with low-wage workers' lives. Congress can fix this ."
65,"the Supreme Court is increasingly divorced from reason and submissive to politics, he says. He says the definition of marriage has not changed since then is either willfully ignorant or woefully nave.","Sally Kohn: Supreme Court seems to have increasingly become a place for partisan theatrics .
She says marriage equality arguments seemed even more shaped by politics than the law ."
66,Ayatollah Khomeini accepted a ceasefire to end the war with Iraq. He says Iran has defied the West in the face of increasing economic pressure. He says Iranian politicians are divided between moderates and hardliners.,"Iran's first Supreme Leader made a bitter peace with Iraq's Saddam Hussein .
Nazila Fathi: Is current leader Ayatollah Khamanei trying to put Iran on right track before he dies?"
67,"U.S., Saudi Arabia and other countries criticize Iran for its alleged involvement in funding and supplying the Houthi rebels. Iranian President Hassan Rouhani praises the military as peacemakers for the Middle East. ""We consider the U.S. to be a threat to us because its policies and actions are threatening to us,"" he says.","Iran's military held annual National Army Day parade over the weekend .
Top military official says he hopes U.S.-Iranian enmity will fade .
U.S. has welcomed limited Iranian help in fight against ISIS but neither side plans full coordination ."
68,"""The Big Bang Theory"" co-creator Bill Prady is co-writing the script for a pilot presentation. Sources say the project could be unspooled at May's upfront presentation to advertisers. The show won't move forward unless Miss Piggy signs on.","""The Muppets"" might return to television on ABC .
""The Big Bang Theory"" co-creator Bill Prady is co-writing a pilot script .
The old Muppet gang would return for the variety show ."
69,Jean Nidetch became a heavyweight in the weight-loss industry. She started Weight Watchers as a group of friends meeting in her New York living room.,"Jean Nidetch started Weight Watchers in 1963 .
Nidetch's philosophy:  ""It's choice -- not chance -- that determines your destiny"""
70,"Jerome R. Hunt, 54, scaled the fence on the south side of the White House complex. The package was being examined and later deemed harmless, a Secret Service source says. A U.S. official says temporary steel spikes may be added to the perimeter fence.","The person climbed the fence on the south side of the White House complex .
Charges are pending ."
71,"Court of Appeals of Virginia says Robert Boardwine is legally entitled to be a part of his son's life. ""The plain meaning of the term'medical technology' does not encompass a kitchen implement such as a turkey baster,"" appeals court says.","In July 2010, Joyce Bruce got pregnant in an unusual way -- with repeated attempts using a turkey baster .
The man who gave her his sperm wanted to have a role in his son's life .
They ended up in court, and he has won joint custody and visitation rights ."
72,"the mother of a quadriplegic man is charged with aggravated assault, simple assault and reckless endangering another person. Police say she left her 21-year-old son in the woods for more than four days. A man walking through the woods found him ""lying in leaves,"" police say.","Mother must complete ""treatment"" before she can be extradited, Maryland police say .
Mom told police son was with her in Maryland, but he was found Friday alone in woods .
Victim being treated for malnutrition, dehydration; mother faces host of charges after extradition ."
73,NASA says the project will cost $8.5 billion. The new telescope is designed to study the first galaxies that formed in the early universe. Scientists are working on an alternative way to peer into the past and search for signs of life.,"Hubble has helped make major discoveries but there are limits to how far it can see into space .
The James Webb Space Telescope will work in the infra-red and be able to see objects that formed 13 billion years ago .
Scientists also believe the new telescope will be able to detect planets around nearby stars ."
74,Ailina Tsarnaeva is the sister of Dzhokhar and Tamerlan Tsarnaev. Authorities allege the brothers are responsible for the 2013 Boston marathon bombing. Tsarnaev's lawyers don't dispute that he did it.,"Dzhokhar Tsarnaev is on trial for his alleged role in the Boston Marathon bombings .
Tsarnaev's sister, Ailina, was in court in December related to aggravated harassment charges .
Tsarnaev's mother is wanted on felony charges of shoplifting and destruction of property ."
75,"365 days have passed since the kidnappings in Chibok, northeastern Nigeria. A year ago, many of the world stood as one, rallying around #BringBackOurGirls. Malala offers'solidarity, love, hope' to abducted schoolgirls.","Some 276 girls were kidnapped from their school in northeastern Nigeria by Boko Haram a year ago .
Despite a global outcry, one year on, only a handful have escaped and returned home .
Isha Sesay: We should all feel shame that our collective attention span is so fleeting ."
76,"Morsy was deposed by a popularly backed military coup in July 2013. ""This is a sad and terrible day in Egyptian history,"" his Freedom and Justice Party says.","Ousted Egyptian President Mohamed Morsy is convicted of charges involving violence against protesters .
But he is acquitted of murder .
""We promise you unexpected revolutionary surprises,"" a Muslim Brotherhood spokesman says ."
77,"author Sandra Mackey was an undercover reporter working for U.S. newspapers from Saudi Arabia. Her book ""Passion and Politics: The Turbulent World of the Arabs"" helped bridge gaps in understanding between Arabs and Americans.","Mackey predicted what would happen to Iraq if the U.S. invaded and deposed Saddam Hussein .
She also wrote a book credited with helping bridge gap between Arabs and Americans ."
78,"Prince Jan Zylinski: ""I would like us to meet in Hyde Park one morning with our swords"" He says he was fed up with discrimination against Poles living in Britain. The prince is on the campaign trail ahead of Britain's general elections.","Polish Prince Jan Zylinski has challenged UKIP leader Nigel Farage to a duel .
In a video, Zylinski says he is sick of Poles being discriminated against in Britain ."
79,"photographer Timothy Bouldry has traveled the world photographing landfills. The Boragaon landfill is located in Guwahati, about 300 miles from Bangladesh. He works in Nicaragua, one of the largest landfills in the world.","Photographer Timothy Bouldry spent time at a massive landfill in Guwahati, India .
About 100 families live inside the Boragaon landfill, but Bouldry said they are ""content"""
80,Hospital gowns are among the most vexing parts of being in the hospital. The Cleveland Clinic introduced new gowns after being prompted by CEO Diane von Furstenberg. It's all part of a trend among hospitals to improve patient reviews and their own bottom lines.,"Hospital gowns have gotten a face-lift with help from fashion designers such as Diane von Furstenberg .
What patients wear needs to be comfortable yet allow health professionals access during exams .
Patient satisfaction is linked to the size of Medicare payments hospitals get ."
81,"Dr. Anthony Moschetto pleads not guilty to criminal solicitation, conspiracy, burglary and arson charges. He was released after posting $2 million bond and surrendering his passport. Two other men were named as accomplices, prosecutors say.","Dr. Anthony Moschetto, 54, arrested for selling drugs and  weapons, prosecutors say .
Authorities allege Moschetto hired accomplices to burn down the practice of former associate .
Attorney says client will ""vigorously"" defend himself ."
82,"Russian principal dancer Joy Womack is taking part in her first ballet class of the day at the Kremlin Ballet Theatre. She says she is paid around $240 a month, which works out at around $8 a day. ""I love the Russian system and I'm very patriotic in that sense,"" she says.","20-year-old American dancer makes $240 a month at Kremlin Ballet Theatre .
Joy Womack studied at Bolshoi Ballet Academy but left in cloud of controversy ."
83,"""Batman v. Superman: Dawn of Justice"" got a makeover after the trailer went up late on Friday. Bobby Burns says he wanted to contrast the old with the new.","A fan re-edited ""Batman v. Superman: Dawn of Justice"" trailer with classic scenes from older ""Batman"" and ""Superman"" TV and film .
Adam West and Christopher Reeve replace Ben Affleck and Henry Cavill in the re-imagined trailer ."
84,"""Weed 2: Cannabis Madness"" is the first federally approved medical marijuana study on PTSD. He says there are signs of a revolution in the attitudes of everyday Americans. He says we should legalize marijuana, but it's not as safe as other medicine.","CNN's Dr. Sanjay Gupta says we should legalize medical marijuana now .
He says he knows how easy it is do nothing ""because I did nothing for too long"""
85,"jury must decide whether Dzhokhar Tsarnaev should live or die for what he has done. ""I remember thinking I was going to die, that no one could go through that much pain,"" prosecutor says. Two women and a man were killed in the Boston Marathon bombings.","The sentencing phase in Dzhokhar Tsarnaev's trial begins in a federal court in Boston .
Prosecutor shows pictures of the four victims and Tsarnaev flipping his middle finger .
Victims testify about the impact of the bombing on their lives ."
86,"""The Breakfast Crew"" was filmed in the school district where it was filmed, Chicago Tribune reports. The manuscript sports the approval signature of the district's then-superintendent. The script shows Molly Ringwald's character, Claire Standish, was originally to be named Cathy Douglas.","""The Breakfast Club"" script was found in a high school filing cabinet 30 years later .
School officials hope to display the draft script ."
87,"Thousands of asteroids swarm through the solar system between Mars and Jupiter. Scientist Amy Mainzer gave Malala the name 316201 Malala, or 2010 ML48.","Astrophysicist Amy Mainzer says she was was touched by Malala's story of determination .
Mainzer also works on educating children about science ."
